{'stabilizer.yaw': 130.2550048828125, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': 4.456968307495117, 'stabilizer.roll': -64.05655670166016}
{'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.43509575724601746, 'stabilizer.yaw': 116.86898803710938, 'stabilizer.roll': -61.72956848144531}
{'stabilizer.yaw': 112.6005630493164, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.62257319688797, 'stabilizer.roll': -61.87417984008789}
{'stabilizer.yaw': 112.58908081054688, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.6256000995635986, 'stabilizer.roll': -61.873023986816406}
{'stabilizer.yaw': 112.56078338623047, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.6092410683631897, 'stabilizer.roll': -61.9012451171875}
{'stabilizer.yaw': 112.58346557617188, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.6200188398361206, 'stabilizer.roll': -61.86943817138672}
{'stabilizer.roll': -11.994352340698242, 'stabilizer.thrust': 0.0, 'stabilizer.yaw': 87.29337310791016, 'stabilizer.pitch': 18.37726593017578}
{'stabilizer.roll': -12.416242599487305, 'stabilizer.thrust': 0.0, 'stabilizer.yaw': 88.76920318603516, 'stabilizer.pitch': 15.478482246398926}
{'stabilizer.roll': -12.341134071350098, 'stabilizer.thrust': 0.0, 'stabilizer.yaw': 89.16090393066406, 'stabilizer.pitch': 13.828778266906738}
{'stabilizer.roll': -9.799635887145996, 'stabilizer.thrust': 0.0, 'stabilizer.yaw': 92.31616973876953, 'stabilizer.pitch': 10.986146926879883}
{'stabilizer.roll': -10.47695541381836, 'stabilizer.thrust': 0.0, 'stabilizer.yaw': 92.00457763671875, 'stabilizer.pitch': 11.140475273132324}
{'stabilizer.roll': -11.85888385772705, 'stabilizer.thrust': 0.0, 'stabilizer.yaw': 91.52546691894531, 'stabilizer.pitch': 10.330011367797852}
{'stabilizer.roll': -12.15798568725586, 'stabilizer.thrust': 0.0, 'stabilizer.yaw': 90.01841735839844, 'stabilizer.pitch': 11.227807998657227}
{'stabilizer.roll': -11.488563537597656, 'stabilizer.thrust': 43008.0, 'stabilizer.yaw': 90.72685241699219, 'stabilizer.pitch': 11.130614280700684}
{'stabilizer.roll': -13.44825267791748, 'stabilizer.thrust': 0.0, 'stabilizer.yaw': 91.0016860961914, 'stabilizer.pitch': 10.511512756347656}
{'stabilizer.roll': -14.558565139770508, 'stabilizer.thrust': 0.0, 'stabilizer.yaw': 90.94925689697266, 'stabilizer.pitch': 8.886541366577148}
{'stabilizer.roll': -40.52880096435547, 'stabilizer.thrust': 0.0, 'stabilizer.yaw': 116.37320709228516, 'stabilizer.pitch': 23.279830932617188}
{'stabilizer.roll': -60.85968780517578, 'stabilizer.thrust': 0.0, 'stabilizer.yaw': 124.3796157836914, 'stabilizer.pitch': -0.22415955364704132}
{'stabilizer.roll': -61.18628692626953, 'stabilizer.thrust': 0.0, 'stabilizer.yaw': 124.37020874023438, 'stabilizer.pitch': -0.33455944061279297}
{'stabilizer.roll': -61.389739990234375, 'stabilizer.thrust': 0.0, 'stabilizer.yaw': 124.3590087890625, 'stabilizer.pitch': -0.41009601950645447}
{'stabilizer.roll': -61.48743438720703, 'stabilizer.thrust': 0.0, 'stabilizer.yaw': 124.34626770019531, 'stabilizer.pitch': -0.416505366563797}
{'stabilizer.roll': -61.6113166809082, 'stabilizer.thrust': 0.0, 'stabilizer.yaw': 124.31459045410156, 'stabilizer.pitch': -0.46140462160110474}
{'stabilizer.roll': -61.67395782470703, 'stabilizer.thrust': 0.0, 'stabilizer.yaw': 124.2914810180664, 'stabilizer.pitch': -0.4659171402454376}
{'stabilizer.roll': -61.745147705078125, 'stabilizer.thrust': 0.0, 'stabilizer.yaw': 124.2692642211914, 'stabilizer.pitch': -0.520266056060791}
{'stabilizer.roll': -61.77021026611328, 'stabilizer.thrust': 0.0, 'stabilizer.yaw': 124.2399673461914, 'stabilizer.pitch': -0.5166103839874268}
{'stabilizer.roll': -61.80054473876953, 'stabilizer.thrust': 0.0, 'stabilizer.yaw': 124.20553588867188, 'stabilizer.pitch': -0.5314412713050842}
{'stabilizer.roll': -61.837074279785156, 'stabilizer.thrust': 0.0, 'stabilizer.yaw': 124.17817687988281, 'stabilizer.pitch': -0.5549226999282837}
{'stabilizer.roll': -61.835811614990234, 'stabilizer.thrust': 0.0, 'stabilizer.yaw': 124.12893676757812, 'stabilizer.pitch': -0.539816677570343}
{'stabilizer.roll': -61.84537887573242, 'stabilizer.thrust': 0.0, 'stabilizer.yaw': 124.09236145019531, 'stabilizer.pitch': -0.5499290823936462}
{'stabilizer.roll': -61.86032485961914, 'stabilizer.thrust': 0.0, 'stabilizer.yaw': 124.05428314208984, 'stabilizer.pitch': -0.5513801574707031}
{'stabilizer.roll': -61.86841583251953, 'stabilizer.thrust': 0.0, 'stabilizer.yaw': 124.0263442993164, 'stabilizer.pitch': -0.5554760098457336}
{'stabilizer.roll': -61.87431335449219, 'stabilizer.thrust': 0.0, 'stabilizer.yaw': 123.98884582519531, 'stabilizer.pitch': -0.5610368847846985}
{'stabilizer.roll': -61.87714385986328, 'stabilizer.thrust': 0.0, 'stabilizer.yaw': 123.94659423828125, 'stabilizer.pitch': -0.5662792325019836}
{'stabilizer.roll': -61.911277770996094, 'stabilizer.thrust': 0.0, 'stabilizer.yaw': 123.9104995727539, 'stabilizer.pitch': -0.5720039010047913}
{'stabilizer.roll': -61.90899658203125, 'stabilizer.thrust': 0.0, 'stabilizer.yaw': 123.860107421875, 'stabilizer.pitch': -0.5668905973434448}
{'stabilizer.roll': -61.89973449707031, 'stabilizer.thrust': 0.0, 'stabilizer.yaw': 123.81584930419922, 'stabilizer.pitch': -0.5630266666412354}
{'stabilizer.roll': -61.88401794433594, 'stabilizer.thrust': 0.0, 'stabilizer.yaw': 123.76457977294922, 'stabilizer.pitch': -0.5481607913970947}
{'stabilizer.roll': -61.90404510498047, 'stabilizer.thrust': 0.0, 'stabilizer.yaw': 123.71741485595703, 'stabilizer.pitch': -0.55945885181427}
{'stabilizer.roll': -61.91463088989258, 'stabilizer.thrust': 0.0, 'stabilizer.yaw': 123.67340850830078, 'stabilizer.pitch': -0.5628767013549805}
{'stabilizer.roll': -61.92407989501953, 'stabilizer.thrust': 0.0, 'stabilizer.yaw': 123.6229476928711, 'stabilizer.pitch': -0.5525485873222351}
{'stabilizer.roll': -61.93050003051758, 'stabilizer.thrust': 0.0, 'stabilizer.yaw': 123.58505249023438, 'stabilizer.pitch': -0.5620173811912537}
{'stabilizer.roll': -61.930763244628906, 'stabilizer.thrust': 0.0, 'stabilizer.yaw': 123.52489471435547, 'stabilizer.pitch': -0.5685104131698608}
{'stabilizer.roll': -61.93550109863281, 'stabilizer.thrust': 0.0, 'stabilizer.yaw': 123.46591186523438, 'stabilizer.pitch': -0.5652111768722534}
{'stabilizer.roll': -61.96224594116211, 'stabilizer.thrust': 0.0, 'stabilizer.yaw': 123.39976501464844, 'stabilizer.pitch': -0.5636072158813477}
{'stabilizer.roll': -61.95758819580078, 'stabilizer.thrust': 0.0, 'stabilizer.yaw': 123.33846282958984, 'stabilizer.pitch': -0.5690104961395264}
{'stabilizer.yaw': 113.8536148071289, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.4741423726081848, 'stabilizer.roll': -61.816890716552734}
{'stabilizer.yaw': 113.85252380371094, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.47681811451911926, 'stabilizer.roll': -61.822654724121094}
{'stabilizer.yaw': 113.85453033447266, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.4752237796783447, 'stabilizer.roll': -61.82317352294922}
{'stabilizer.yaw': 113.85591888427734, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.4731748402118683, 'stabilizer.roll': -61.82444763183594}
{'stabilizer.yaw': 113.85875701904297, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.4734593629837036, 'stabilizer.roll': -61.824806213378906}
{'stabilizer.yaw': 113.86042785644531, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.47483381628990173, 'stabilizer.roll': -61.82135772705078}
{'stabilizer.yaw': 113.86201477050781, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.4779595136642456, 'stabilizer.roll': -61.8212890625}
{'stabilizer.yaw': 113.86351013183594, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.47731566429138184, 'stabilizer.roll': -61.8216552734375}
{'stabilizer.yaw': 113.86580657958984, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.47433575987815857, 'stabilizer.roll': -61.82172775268555}
{'stabilizer.yaw': 113.86905670166016, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.4736153185367584, 'stabilizer.roll': -61.822723388671875}
{'stabilizer.yaw': 113.87203979492188, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.4742991328239441, 'stabilizer.roll': -61.82137680053711}
{'stabilizer.yaw': 113.87602233886719, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.4784199297428131, 'stabilizer.roll': -61.82587814331055}
{'stabilizer.yaw': 113.86807250976562, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.46959546208381653, 'stabilizer.roll': -61.827301025390625}
{'stabilizer.yaw': 113.87506103515625, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.46031174063682556, 'stabilizer.roll': -61.82062911987305}
{'stabilizer.yaw': 113.87368774414062, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.4588001072406769, 'stabilizer.roll': -61.81943893432617}
{'stabilizer.yaw': 113.87044525146484, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.4756042957305908, 'stabilizer.roll': -61.81618881225586}
{'stabilizer.yaw': 113.87305450439453, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.4802745580673218, 'stabilizer.roll': -61.83097457885742}
{'stabilizer.yaw': 113.87616729736328, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.48473745584487915, 'stabilizer.roll': -61.831424713134766}
{'stabilizer.yaw': 113.87560272216797, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.48237594962120056, 'stabilizer.roll': -61.83793640136719}
{'stabilizer.yaw': 113.87928009033203, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.4900748133659363, 'stabilizer.roll': -61.84043502807617}
{'stabilizer.yaw': 113.88143157958984, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.4854775667190552, 'stabilizer.roll': -61.839447021484375}
{'stabilizer.yaw': 113.88399505615234, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.48960208892822266, 'stabilizer.roll': -61.84302520751953}
{'stabilizer.yaw': 113.88290405273438, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.49088579416275024, 'stabilizer.roll': -61.842586517333984}
{'stabilizer.yaw': 113.88231658935547, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.4896841049194336, 'stabilizer.roll': -61.84235382080078}
{'stabilizer.yaw': 113.88529968261719, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.4938032031059265, 'stabilizer.roll': -61.842620849609375}
{'stabilizer.yaw': 113.88176727294922, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.4920324981212616, 'stabilizer.roll': -61.839359283447266}
{'stabilizer.yaw': 113.87603759765625, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.48769411444664, 'stabilizer.roll': -61.84304428100586}
{'stabilizer.yaw': 113.8760986328125, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.4863240718841553, 'stabilizer.roll': -61.84225845336914}
{'stabilizer.yaw': 113.87098693847656, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.48670700192451477, 'stabilizer.roll': -61.843753814697266}
{'stabilizer.yaw': 113.87202453613281, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.4873686730861664, 'stabilizer.roll': -61.84745407104492}
{'stabilizer.yaw': 113.86866760253906, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.48627662658691406, 'stabilizer.roll': -61.852237701416016}
{'stabilizer.yaw': 113.8683090209961, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.48433053493499756, 'stabilizer.roll': -61.85111618041992}
{'stabilizer.yaw': 113.86724090576172, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.4829784035682678, 'stabilizer.roll': -61.853111267089844}
{'stabilizer.yaw': 113.87024688720703, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.48200830817222595, 'stabilizer.roll': -61.85215759277344}
{'stabilizer.yaw': 113.8665771484375, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.48018741607666016, 'stabilizer.roll': -61.85038757324219}
{'stabilizer.yaw': 113.86585235595703, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.4772487282752991, 'stabilizer.roll': -61.850746154785156}
{'stabilizer.yaw': 113.86631774902344, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.47796323895454407, 'stabilizer.roll': -61.8505859375}
{'stabilizer.yaw': 113.8692855834961, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.4810580909252167, 'stabilizer.roll': -61.85297775268555}
{'stabilizer.yaw': 113.8729476928711, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.4859389066696167, 'stabilizer.roll': -61.85025405883789}
{'stabilizer.yaw': 113.86557006835938, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.4826161563396454, 'stabilizer.roll': -61.85612106323242}
{'stabilizer.yaw': 113.86764526367188, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.4829423129558563, 'stabilizer.roll': -61.854591369628906}
{'stabilizer.yaw': 113.86219787597656, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.4816726744174957, 'stabilizer.roll': -61.855648040771484}
{'stabilizer.yaw': 113.86238861083984, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.4835183620452881, 'stabilizer.roll': -61.85324478149414}
{'stabilizer.yaw': 113.8650131225586, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.48434877395629883, 'stabilizer.roll': -61.85710525512695}
{'stabilizer.yaw': 113.86444091796875, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.48967909812927246, 'stabilizer.roll': -61.85642623901367}
{'stabilizer.yaw': 113.86372375488281, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.48892948031425476, 'stabilizer.roll': -61.85803985595703}
{'stabilizer.yaw': 114.12488555908203, 'stabilizer.thrust': 36864.0, 'stabilizer.pitch': -0.4678284525871277, 'stabilizer.roll': -62.05023193359375}
{'stabilizer.yaw': 114.45242309570312, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.5643743276596069, 'stabilizer.roll': -62.944515228271484}
{'stabilizer.yaw': 114.98652648925781, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.6584942936897278, 'stabilizer.roll': -63.1434440612793}
{'stabilizer.yaw': 115.12535095214844, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.6828886866569519, 'stabilizer.roll': -63.09596633911133}
{'stabilizer.yaw': 115.12979888916016, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.6750701665878296, 'stabilizer.roll': -63.05278015136719}
{'stabilizer.yaw': 115.13622283935547, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.666911244392395, 'stabilizer.roll': -63.009918212890625}
{'stabilizer.yaw': 115.13548278808594, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.6612995862960815, 'stabilizer.roll': -62.96487045288086}
{'stabilizer.yaw': 115.13477325439453, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.6564065217971802, 'stabilizer.roll': -62.92222595214844}
{'stabilizer.yaw': 115.1337661743164, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.6499800086021423, 'stabilizer.roll': -62.881534576416016}
{'stabilizer.yaw': 115.1274185180664, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.6402900815010071, 'stabilizer.roll': -62.84695053100586}
{'stabilizer.yaw': 115.12825012207031, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.6337851285934448, 'stabilizer.roll': -62.80522537231445}
{'stabilizer.yaw': 115.12958526611328, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.62496018409729, 'stabilizer.roll': -62.76986312866211}
{'stabilizer.yaw': 115.13430786132812, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.6164970397949219, 'stabilizer.roll': -62.73374938964844}
{'stabilizer.yaw': 115.15326690673828, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.6094144582748413, 'stabilizer.roll': -62.697288513183594}
{'stabilizer.yaw': 115.164306640625, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.6072080135345459, 'stabilizer.roll': -62.665645599365234}
{'stabilizer.yaw': 115.17263793945312, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.5999659299850464, 'stabilizer.roll': -62.62889099121094}
{'stabilizer.yaw': 115.17758178710938, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.5991464257240295, 'stabilizer.roll': -62.60383987426758}
{'stabilizer.yaw': 115.19023132324219, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.6057310700416565, 'stabilizer.roll': -62.575897216796875}
{'stabilizer.yaw': 115.18629455566406, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.5971202254295349, 'stabilizer.roll': -62.55161666870117}
{'stabilizer.yaw': 115.19788360595703, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.6003164649009705, 'stabilizer.roll': -62.530059814453125}
{'stabilizer.yaw': 115.19610595703125, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.5967072248458862, 'stabilizer.roll': -62.51325607299805}
{'stabilizer.yaw': 115.19896697998047, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.5791256427764893, 'stabilizer.roll': -62.48094177246094}
{'stabilizer.yaw': 115.31514739990234, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.5784239768981934, 'stabilizer.roll': -62.459739685058594}
{'stabilizer.yaw': 115.40718841552734, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.5848717093467712, 'stabilizer.roll': -62.45337677001953}
{'stabilizer.yaw': 115.4176025390625, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.5588260889053345, 'stabilizer.roll': -62.427703857421875}
{'stabilizer.yaw': 115.43020629882812, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.5602974891662598, 'stabilizer.roll': -62.4079704284668}
{'stabilizer.yaw': 115.42154693603516, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.5508201718330383, 'stabilizer.roll': -62.384185791015625}
{'stabilizer.yaw': 115.43478393554688, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.5547779202461243, 'stabilizer.roll': -62.3653678894043}
{'stabilizer.yaw': 115.43095397949219, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.550636887550354, 'stabilizer.roll': -62.346153259277344}
{'stabilizer.yaw': 115.43464660644531, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.5474838018417358, 'stabilizer.roll': -62.33143615722656}
{'stabilizer.yaw': 115.42860412597656, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.5419368147850037, 'stabilizer.roll': -62.31467056274414}
{'stabilizer.yaw': 115.42792510986328, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.541965901851654, 'stabilizer.roll': -62.29757308959961}
{'stabilizer.yaw': 115.43202209472656, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.5463038682937622, 'stabilizer.roll': -62.2855224609375}
{'stabilizer.yaw': 115.42967224121094, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.5401427745819092, 'stabilizer.roll': -62.266353607177734}
{'stabilizer.yaw': 115.43557739257812, 'stabilizer.thrust': 0.0, 'stabilizer.pitch': -0.5424625277519226, 'stabilizer.roll': -62.252784729003906}
{'stabilizer.yaw': 49.94408416748047, 'stabilizer.pitch': -0.4804070293903351, 'stabilizer.thrust': 0.0, 'stabilizer.roll': -61.79634475708008}
{'stabilizer.yaw': 49.94755935668945, 'stabilizer.pitch': -0.47956937551498413, 'stabilizer.thrust': 0.0, 'stabilizer.roll': -61.794864654541016}
{'stabilizer.yaw': 49.948028564453125, 'stabilizer.pitch': -0.4796026945114136, 'stabilizer.thrust': 0.0, 'stabilizer.roll': -61.7977180480957}
{'stabilizer.yaw': 49.94877624511719, 'stabilizer.pitch': -0.48095735907554626, 'stabilizer.thrust': 0.0, 'stabilizer.roll': -61.796810150146484}
{'stabilizer.yaw': 49.947139739990234, 'stabilizer.pitch': -0.48102232813835144, 'stabilizer.thrust': 0.0, 'stabilizer.roll': -61.79831314086914}
